"Container_Status"
Cage Order
Hold -  Safe Launch
Hold - Cut & Etch
Hold - Cut & Etch (Weld Process Change)
Hold - Ready to Process
Hold - Repack
Hold - Rework L
Hold - Safe Launch
Hold – Process Incomplete
Loaded
Loaded / 已装箱
Offsite Storage
OK
Receiving
Receiving / 接收
Retenido - Proceso Incomplete / Hold
Retenido - Prototipo / Hold
Staged
Staged / 已上船（或上机）
